Free energy,step
-27.206652526156248,0
-27.335156626258712,10
-27.348464055675084,20
-27.353389204674944,30
-27.35587995669568,40
-27.357363445666763,50
-27.35833978177733,60
-27.359026504184367,70
-27.359533090092825,80
-27.35992060672876,90
-27.360225751040097,100
-27.360471833152125,110
-27.360674307928583,120
-27.360843779996692,130
-27.360987735926987,140
-27.361111590868376,150
-27.36121934557181,160
-27.361314012074523,170
-27.361397896945697,180
-27.36147279411282,190
-27.361540118776965,200
-27.361601002074288,210
-27.361656359064256,220
-27.361706938276434,230
-27.361753358307944,240
-27.3617961351991,250
-27.361835703156267,260
-27.361872430416938,270
-27.361906631527358,280
-27.361938576942034,290
-27.361968500603254,300
-27.361996605981897,310
-27.362023070934917,320
-27.362048051644287,330
-27.36207168583671,340
-27.36209409543531,350
-27.362115388758863,360
-27.362135662358074,370
-27.362155002558133,380
-27.36217348676218,390
-27.36219118455869,400
-27.362208158666903,410
-27.362224465747907,420
-27.3622401571034,430
-27.36225527928021,440
-27.36226987459522,450
-27.36228398159281,460
-27.362297635444804,470
-27.362310868301254,480
-27.362323709598957,490
-27.362336186333593,500
-27.362348323300367,510
-27.36236014330727,520
-27.362371667364634,530
-27.362382914853818,540
-27.362393903677784,550
-27.362404650395668,560
-27.362415170343326,570
-27.362425477741503,580
-27.362435585793037,590
-27.362445506770367,600
-27.362455252094467,610
-27.362464832406094,620
-27.36247425763024,630
-27.362483537034496,640
-27.36249267928199,650
-27.362501692479427,660
-27.3625105842208,670
-27.36251936162718,680
-27.362528031382922,690
-27.36253659976879,700
-27.36254507269213,710
-27.36255345571452,720
-27.362561754077035,730
-27.362569972723435,740
-27.36257811632141,750
-27.362586189282084,760
-27.36259419577797,770
-27.362602139759424,780
-27.362610024969854,790
-27.362617854959716,800
-27.362625633099398,810
-27.362633362591133,820
-27.36264104648003,830
-27.362648687664198,840
-27.362656288904205,850
-27.362663852831766,860
-27.362671381957835,870
-27.362678878680086,880
-27.362686345289866,890
-27.362693783978685,900
-27.362701196844167,910
-27.362708585895685,920
-27.36271595305952,930
-27.362723300183738,940
-27.362730629042673,950
-27.36273794134116,960
-27.362745238718453,970
-27.362752522751908,980
-27.362759794960404,990
-27.362767056807563,1000
-27.362774309704736,1010
-27.362781555013846,1020
-27.362788794049997,1030
-27.362796028083974,1040
-27.362803258344535,1050
-27.362810486020603,1060
-27.36281771226333,1070
-27.36282493818799,1080
-27.362832164875826,1090
-27.362839393375722,1100
-27.362846624705824,1110
-27.36285385985506,1120
-27.362861099784553,1130
-27.36286834542898,1140
-27.362875597697837,1150
-27.362882857476645,1160
-27.362890125628077,1170
-27.362897402993053,1180
-27.36290469039173,1190
-27.36291198862449,1200
-27.362919298472832,1210
-27.362926620700257,1220
-27.362933956053084,1230
-27.362941305261202,1240
-27.362948669038868,1250
-27.36295604808535,1260
-27.362963443085633,1270
-27.362970854711033,1280
-27.362978283619842,1290
-27.36298573045785,1300
-27.362993195858937,1310
-27.363000680445584,1320
-27.36300818482937,1330
-27.363015709611442,1340
-27.363023255383013,1350
-27.363030822725726,1360
-27.363038412212145,1370
-27.363046024406103,1380
-27.363053659863102,1390
-27.363061319130686,1400
-27.363069002748773,1410
-27.36307671125001,1420
-27.36308444516007,1430
-27.36309220499799,1440
-27.36309999127645,1450
-27.363107804502057,1460
-27.363115645175622,1470
-27.363123513792438,1480
-27.3631314108425,1490
-27.36313933681079,1500
-27.363147292177473,1510
-27.363155277418144,1520
-27.36316329300405,1530
-27.363171339402292,1540
-27.36317941707602,1550
-27.363187526484644,1560
-27.363195668084025,1570
-27.363203842326627,1580
-27.363212049661733,1590
-27.363220290535608,1600
-27.363228565391637,1610
-27.36323687467051,1620
-27.363245218810373,1630
-27.36325359824698,1640
-27.36326201341383,1650
-27.363270464742318,1660
-27.363278952661858,1670
-27.36328747760004,1680
-27.36329603998273,1690
-27.363304640234226,1700
-27.363313278777362,1710
-27.363321956033616,1720
-27.363330672423263,1730
-27.363339428365446,1740
-27.36334822427831,1750
-27.363357060579116,1760
-27.363365937684314,1770
-27.36337485600967,1780
-27.363383815970373,1790
-27.363392817981094,1800
-27.363401862456122,1810
-27.363410949809435,1820
-27.363420080454794,1830
-27.363429254805833,1840
-27.363438473276148,1850
-27.363447736279376,1860
-27.363457044229285,1870
-27.363466397539845,1880
-27.363475796625316,1890
-27.36348524190034,1900
-27.36349473377998,1910
-27.36350427267984,1920
-27.36351385901611,1930
-27.36352349320564,1940
-27.363533175666024,1950
-27.363542906815677,1960
-27.363552687073877,1970
-27.363562516860856,1980
-27.363572396597867,1990
-27.36358232670723,2000
-27.363592307612436,2010
-27.363602339738158,2020
-27.363612423510375,2030
-27.36362255935638,2040
-27.363632747704887,2050
-27.363642988986058,2060
-27.363653283631585,2070
-27.363663632074754,2080
-27.36367403475048,2090
-27.363684492095384,2100
-27.363695004547857,2110
-27.3637055725481,2120
-27.363716196538196,2130
-27.363726876962165,2140
-27.363737614266014,2150
-27.3637484088978,2160
-27.363759261307674,2170
-27.363770171947962,2180
-27.363781141273193,2190
-27.363792169740165,2200
-27.36380325780801,2210
-27.36381440593822,2220
-27.363825614594738,2230
-27.36383688424398,2240
-27.36384821535491,2250
-27.363859608399082,2260
-27.3638710638507,2270
-27.36388258218666,2280
-27.363894163886627,2290
-27.363905809433057,2300
-27.363917519311286,2310
-27.363929294009537,2320
-27.36394113401903,2330
-27.36395303983398,2340
-27.363965011951684,2350
-27.363977050872563,2360
-27.363989157100228,2370
-27.36400133114151,2380
-27.364013573506522,2390
-27.364025884708735,2400
-27.364038265264995,2410
-27.364050715695598,2420
-27.36406323652436,2430
-27.36407582827862,2440
-27.364088491489348,2450
-27.36410122669116,2460
-27.364114034422425,2470
-27.364126915225235,2480
-27.364139869645552,2490
-27.3641528982332,2500
-27.364166001541943,2510
-27.364179180129547,2520
-27.364192434557832,2530
-27.364205765392718,2540
-27.36421917320429,2550
-27.364232658566856,2560
-27.36424622205901,2570
-27.364259864263676,2580
-27.36427358576819,2590
-27.364287387164318,2600
-27.36430126904836,2610
-27.36431523202119,2620
-27.364329276688302,2630
-27.36434340365991,2640
-27.364357613550954,2650
-27.36437190698122,2660
-27.36438628457536,2670
-27.364400746962975,2680
-27.364415294778663,2690
-27.364429928662105,2700
-27.36444464925811,2710
-27.364459457216697,2720
-27.36447435319313,2730
-27.36448933784802,2740
-27.364504411847385,2750
-27.364519575862683,2760
-27.36453483057094,2770
-27.364550176654753,2780
-27.364565614802416,2790
-27.364581145707966,2800
-27.364596770071238,2810
-27.364612488597963,2820
-27.364628301999844,2830
-27.364644210994594,2840
-27.36466021630605,2850
-27.36467631866423,2860
-27.364692518805406,2870
-27.364708817472184,2880
-27.364725215413593,2890
-27.364741713385136,2900
-27.3647583121489,2910
-27.364775012473633,2920
-27.364791815134794,2930
-27.364808720914667,2940
-27.364825730602437,2950
-27.364842844994275,2960
-27.364860064893413,2970
-27.364877391110237,2980
-27.36489482446239,2990
-27.36491236577483,3000
-27.364930015879946,3010
-27.36494777561763,3020
-27.364965645835394,3030
-27.36498362738843,3040
-27.365001721139727,3050
-27.36501992796017,3060
-27.365038248728624,3070
-27.365056684332025,3080
-27.365075235665508,3090
-27.365093903632484,3100
-27.365112689144752,3110
-27.365131593122598,3120
-27.365150616494894,3130
-27.36516976019923,3140
-27.365189025181984,3150
-27.365208412398466,3160
-27.365227922813013,3170
-27.365247557399094,3180
-27.36526731713944,3190
-27.365287203026153,3200
-27.36530721606082,3210
-27.36532735725463,3220
-27.365347627628502,3230
-27.365368028213208,3240
-27.36538856004949,3250
-27.365409224188184,3260
-27.36543002169036,3270
-27.36545095362744,3280
-27.36547202108133,3290
-27.36549322514456,3300
-27.365514566920417,3310
-27.365536047523065,3320
-27.365557668077727,3330
-27.36557942972078,3340
-27.365601333599912,3350
-27.36562338087429,3360
-27.36564557271468,3370
-27.365667910303607,3380
-27.36569039483551,3390
-27.365713027516893,3400
-27.365735809566484,3410
-27.365758742215384,3420
-27.365781826707252,3430
-27.365805064298442,3440
-27.36582845625819,3450
-27.36585200386877,3460
-27.365875708425676,3470
-27.365899571237783,3480
-27.365923593627542,3490
-27.36594777693115,3500
-27.365972122498732,3510
-27.36599663169452,3520
-27.366021305897075,3530
-27.366046146499425,3540
-27.366071154909307,3550
-27.366096332549336,3560
-27.366121680857233,3570
-27.36614720128599,3580
-27.366172895304125,3590
-27.366198764395847,3600
-27.36622481006131,3610
-27.366251033816802,3620
-27.366277437194984,3630
-27.3663040217451,3640
-27.36633078903323,3650
-27.366357740642492,3660
-27.366384878173296,3670
-27.36641220324359,3680
-27.366439717489094,3690
-27.366467422563545,3700
-27.366495320138956,3710
-27.366523411905888,3720
-27.366551699573677,3730
-27.366580184870728,3740
-27.366608869544777,3750
-27.36663775536316,3760
-27.366666844113105,3770
-27.366696137602002,3780
-27.3667256376577,3790
-27.366755346128805,3800
-27.36678526488497,3810
-27.366815395817216,3820
-27.366845740838208,3830
-27.36687630188262,3840
-27.366907080907406,3850
-27.366938079892165,3860
-27.36696930083945,3870
-27.367000745775123,3880
-27.36703241674868,3890
-27.367064315833602,3900
-27.367096445127757,3910
-27.36712880675369,3920
-27.367161402859054,3930
-27.367194235616953,3940
-27.36722730722633,3950
-27.367260619912372,3960
-27.367294175926894,3970
-27.36732797754874,3980
-27.36736202708421,3990
-27.367396326867468,4000
-27.36743087926097,4010
-27.367465686655905,4020
-27.367500751472626,4030
-27.367536076161123,4040
-27.367571663201467,4050
-27.367607515104282,4060
-27.367643634411216,4070
-27.36768002369544,4080
-27.367716685562137,4090
-27.367753622649015,4100
-27.3677908376268,4110
-27.367828333199796,4120
-27.36786611210639,4130
-27.3679041771196,4140
-27.36794253104765,4150
-27.36798117673452,4160
-27.36802011706053,4170
-27.36805935494293,4180
-27.368098893336487,4190
-27.36813873523412,4200
-27.368178883667504,4210
-27.36821934170772,4220
-27.368260112465904,4230
-27.3683011990939,4240
-27.36834260478493,4250
-27.36838433277432,4260
-27.36842638634016,4270
-27.36846876880403,4280
-27.368511483531762,4290
-27.36855453393416,4300
-27.36859792346775,4310
-27.3686416556356,4320
-27.368685733988073,4330
-27.368730162123665,4340
-27.36877494368981,4350
-27.368820082383742,4360
-27.368865581953347,4370
-27.368911446198048,4380
-27.368957678969696,4390
-27.3690042841735,4400
-27.369051265768945,4410
-27.369098627770775,4420
-27.369146374249944,4430
-27.369194509334633,4440
-27.369243037211252,4450
-27.3692919621255,4460
-27.369341288383417,4470
-27.369391020352474,4480
-27.369441162462685,4490
-27.369491719207744,4500
-27.36954269514618,4510
-27.369594094902553,4520
-27.36964592316864,4530
-27.36969818470472,4540
-27.36975088434079,4550
-27.36980402697788,4560
-27.36985761758941,4570
-27.369911661222485,4580
-27.369966162999315,4590
-27.370021128118623,4600
-27.370076561857108,4610
-27.37013246957089,4620
-27.370188856697066,4630
-27.37024572875523,4640
-27.370303091349083,4650
-27.370360950168035,4660
-27.37041931098888,4670
-27.370478179677484,4680
-27.37053756219055,4690
-27.37059746457737,4700
-27.370657892981654,4710
-27.37071885364341,4720
-27.37078035290086,4730
-27.370842397192362,4740
-27.370904993058446,4750
-27.370968147143873,4760
-27.3710318661997,4770
-27.371096157085475,4780
-27.371161026771418,4790
-27.37122648234069,4800
-27.37129253099171,4810
-27.37135918004053,4820
-27.371426436923258,4830
-27.37149430919859,4840
-27.371562804550297,4850
-27.371631930789924,4860
-27.371701695859414,4870
-27.371772107833905,4880
-27.371843174924543,4890
-27.371914905481372,4900
-27.37198730799632,4910
-27.37206039110624,4920
-27.372134163596044,4930
-27.37220863440192,4940
-27.372283812614615,4950
-27.372359707482822,4960
-27.37243632841665,4970
-27.372513684991194,4980
-27.37259178695018,4990
